文本编号,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,年级,复杂度-K
70.txt,99.46800232,1.886999965,3,-10.746399530846581
74.txt,87.46199799,2.102999926,3,-3.1719024494459234
77.txt,105.9079971,2.099999905,3,-7.1297095019590415
78.txt,97.42700195,2.061000109,3,-10.425818982925698
79.txt,95.48400116,2.065999985,3,-2.7455518131232424
8.txt,73.25099945,2.142999887,3,-8.476990911765967
80.txt,92.84700012,2.147000074,3,-4.30590861939001
81.txt,103.461998,2.084000111,3,-5.558926256263163
82.txt,90.67700195,2.032000065,3,-6.2627555312953405
83.txt,108.8320007,2.019999981,3,-3.9447925616314876
84.txt,83.23799896,2.190999985,3,-2.4268357416547133
85.txt,91.36499786,2.285000086,3,-1.39079022778364
86.txt,80.28399658,2.056999922,3,-5.09969244532148
87.txt,105.7369995,2.023999929,3,-6.701629510793609
9.txt,105.8420029,2.40199995,3,1.3931479145425243
92.txt,91.33899689,2.09100008,3,-4.92445501324319
93.txt,91.26499939,2.207000017,3,-0.4324510855419419
94.txt,114.151001,2.052000046,3,-5.628037596906438
95.txt,81.84999847,2.207999945,3,-2.1417971420952
96.txt,96.38800049,2.194999933,3,-3.611515603108259
97.txt,92.83899689,2.174999952,3,-4.038332203117548
